time,userid,status
2023-04-16T14:42:09,273556,200
2023-04-16T14:42:10,926510,200
2023-04-16T14:42:11,683186,200
2023-04-16T14:42:11,752393,200
2023-04-16T14:42:11,112494,200
2023-04-16T14:42:11,270165,200
2023-04-16T14:42:12,589315,200
2023-04-16T14:42:12,105171,200
2023-04-16T14:42:12,885584,200
2023-04-16T14:42:13,159467,200
2023-04-16T14:42:14,936391,200
2023-04-16T14:42:14,417147,200
2023-04-16T14:42:15,256706,200
2023-04-16T14:42:15,425571,200
2023-04-16T14:42:16,73244,200
2023-04-16T14:42:16,251389,200
2023-04-16T14:42:16,685535,200
2023-04-16T14:42:16,320392,200
2023-04-16T14:42:17,771037,200
2023-04-16T14:42:17,97341,200
2023-04-16T14:42:17,323165,200
2023-04-16T14:42:17,195990,200
2023-04-16T14:42:18,48922,200
2023-04-16T14:42:18,591476,200
2023-04-16T14:42:18,535096,200
2023-04-16T14:42:18,188942,200
2023-04-16T14:42:18,795036,200
2023-04-16T14:42:19,935707,200
2023-04-16T14:42:19,89712,200
2023-04-16T14:42:20,747627,200
2023-04-16T14:42:20,485292,200
2023-04-16T14:42:20,189999,200
2023-04-16T14:42:21,885352,200
2023-04-16T14:42:21,2717,200
2023-04-16T14:42:22,210710,200
2023-04-16T14:42:22,169829,200
2023-04-16T14:42:23,191382,200
2023-04-16T14:42:23,285878,200
2023-04-16T14:42:24,289000,200
2023-04-16T14:42:24,202941,200
2023-04-16T14:42:24,508346,200
2023-04-16T14:42:24,585556,200
2023-04-16T14:42:25,934087,200
2023-04-16T14:42:25,353584,200
2023-04-16T14:42:25,985567,200
2023-04-16T14:42:25,812074,200
2023-04-16T14:42:26,238649,200
2023-04-16T14:42:26,97735,200
2023-04-16T14:42:26,25775,200
2023-04-16T14:42:26,51721,200
2023-04-16T14:42:27,347087,200
2023-04-16T14:42:27,216495,200
2023-04-16T14:42:28,225402,200
2023-04-16T14:42:28,864121,200
2023-04-16T14:42:28,37425,200
2023-04-16T14:42:28,856591,200
2023-04-16T14:42:28,750436,200
2023-04-16T14:42:28,931910,200
2023-04-16T14:42:29,432862,200
2023-04-16T14:42:29,576550,200
2023-04-16T14:42:29,747855,200
2023-04-16T14:42:30,178447,200
2023-04-16T14:42:30,630053,200
2023-04-16T14:42:30,629962,200
2023-04-16T14:42:31,652092,200
2023-04-16T14:42:31,418800,200
2023-04-16T14:42:31,817438,200
2023-04-16T14:42:32,93560,200
2023-04-16T14:42:32,888339,200
2023-04-16T14:42:34,342902,200
2023-04-16T14:42:34,394881,200
2023-04-16T14:42:35,218422,200
2023-04-16T14:42:35,95964,200
2023-04-16T14:42:35,650115,200
2023-04-16T14:42:35,328382,200
2023-04-16T14:42:35,114020,200
2023-04-16T14:42:35,209452,200
2023-04-16T14:42:36,510432,200
2023-04-16T14:42:36,108614,200
2023-04-16T14:42:37,398877,200
2023-04-16T14:42:37,842135,200
2023-04-16T14:42:37,644423,200
2023-04-16T14:42:37,227301,200
2023-04-16T14:42:38,805805,200
2023-04-16T14:42:38,231071,200
2023-04-16T14:42:38,574619,200
2023-04-16T14:42:38,253215,200
2023-04-16T14:42:38,338484,200
2023-04-16T14:42:39,675593,200
2023-04-16T14:42:39,574157,200
2023-04-16T14:42:39,445155,200
2023-04-16T14:42:39,562559,200
2023-04-16T14:42:39,919030,200
2023-04-16T14:42:40,654650,200
2023-04-16T14:42:40,8767,200
2023-04-16T14:42:40,838605,200
2023-04-16T14:42:40,206237,200
2023-04-16T14:42:41,850343,200
2023-04-16T14:42:41,777132,200
2023-04-16T14:42:41,132860,200
2023-04-16T14:42:41,395388,200
2023-04-16T14:42:42,118735,200
2023-04-16T14:42:42,155099,200
2023-04-16T14:42:42,600654,200
2023-04-16T14:42:42,632951,200
2023-04-16T14:42:42,909967,200
2023-04-16T14:42:43,888846,200
2023-04-16T14:42:43,252173,200
2023-04-16T14:42:43,360787,200
2023-04-16T14:42:43,346780,200
2023-04-16T14:42:43,812931,200
2023-04-16T14:42:44,700229,200
2023-04-16T14:42:44,2569,200
2023-04-16T14:42:44,1191,200
2023-04-16T14:42:45,90339,200
2023-04-16T14:42:45,917620,200
2023-04-16T14:42:45,907651,200
2023-04-16T14:42:46,422251,200
2023-04-16T14:42:46,579426,200
2023-04-16T14:42:47,99239,200
2023-04-16T14:42:48,234860,200
2023-04-16T14:42:48,217811,200
2023-04-16T14:42:48,355617,200
2023-04-16T14:42:49,20940,200
2023-04-16T14:42:49,141360,200
2023-04-16T14:42:49,475467,200
2023-04-16T14:42:49,826382,200
2023-04-16T14:42:50,926658,200
2023-04-16T14:42:50,718286,200
2023-04-16T14:42:51,603550,200
2023-04-16T14:42:51,880245,200
2023-04-16T14:42:51,395012,200
2023-04-16T14:42:52,844086,200
2023-04-16T14:42:52,272634,200
2023-04-16T14:42:52,334303,200
2023-04-16T14:42:52,977928,200
2023-04-16T14:42:53,22979,200
2023-04-16T14:42:53,462651,200
2023-04-16T14:42:53,288021,200
2023-04-16T14:42:54,657791,200
2023-04-16T14:42:54,727234,200
2023-04-16T14:42:54,484529,200
2023-04-16T14:42:55,551238,200
2023-04-16T14:42:55,990344,200
2023-04-16T14:42:55,754153,200
2023-04-16T14:42:55,76408,200
2023-04-16T14:42:56,16603,200
2023-04-16T14:42:56,610696,200
2023-04-16T14:42:57,984691,200
2023-04-16T14:42:57,652601,200
2023-04-16T14:42:57,376440,200
2023-04-16T14:42:58,5065,200
2023-04-16T14:42:59,945484,200
2023-04-16T14:42:59,876423,200
2023-04-16T14:42:59,339171,200
2023-04-16T14:42:59,980761,200
2023-04-16T14:43:00,128777,200
2023-04-16T14:43:00,383883,200
2023-04-16T14:43:00,467327,200
2023-04-16T14:43:01,327539,200
2023-04-16T14:43:01,779390,200
2023-04-16T14:43:02,410304,200
2023-04-16T14:43:02,220669,200
2023-04-16T14:43:02,757530,200
2023-04-16T14:43:02,614214,200
2023-04-16T14:43:02,768364,200
2023-04-16T14:43:03,681494,200
2023-04-16T14:43:03,748920,200
2023-04-16T14:43:03,382323,200
2023-04-16T14:43:03,327135,200
2023-04-16T14:43:03,584785,200
2023-04-16T14:43:04,311305,200
2023-04-16T14:43:04,145926,200
2023-04-16T14:43:04,46908,200
2023-04-16T14:43:04,845467,200
2023-04-16T14:43:05,588183,200
2023-04-16T14:43:05,269482,200
2023-04-16T14:43:05,829591,200
2023-04-16T14:43:06,610416,200
2023-04-16T14:43:07,779833,200
2023-04-16T14:43:07,163016,200
2023-04-16T14:43:08,733161,200
2023-04-16T14:43:08,271034,200
2023-04-16T14:43:08,471306,200
